1;48,75
2;25,607
3;39,804
4;51,974
5;38,64
6;32,558
7;19,274
8;28,04
9;24,501
10;42,328
11;42,328
12;32,699
13;25,597
14;38,152
15;34,642
16;36,087
17;37,1
18;48,787
19;57,035
20;12,226
